Comment,Designator,Footprint,Quantity,LCSC Part #
0603CS-5N1XJLW,"L1, L3",0603,2,
1 nF,"C40, C64",0402,2,0402B102K500NT
1 nF,"C2, C4, C5, C6, C15, C16",0805,6,
1 uF,C48,0805,1,
1.5 k,"R16, R17",0402,2,0402WGF1501TCE
1.5 pF,"C20, C46",0402,2,0402CG1R5C500NT
10 uF,"C41, C65",0805,2,GRM21BR61H106KE43L
100 nF,"C1, C3, C14, C34, C43",0805,5,
100 nF,"C31, C61",0402,2,CL05B104KO5NNNC
100 pF,"C8, C9, C27, C28",0805,4,
100Ω,"R1, R6, R7, R13, R14, R15",0805,6,
10kΩ,"R3, R4, R9, R10",0805,4,
1kΩ,"R5, R8",0805,2,0805W8F1001T5E
2.2 uF,"C30, C45, C60, C66",0603,4,
50Ω,R18,0805,1,
ABM8G-25.000MHZ-B4Y-T,Y1,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm_HandSoldering,1,
ADG904BRUZ-REEL7,IC3,ADG904BRUZ,1,
LM4562MAX/NOPB,U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_nobottomgnd,1,
LQH32DZ150K53L,"L2, L15",1210,2,
PE4251MLI-Z,"IC4, IC8, IC10, IC11",SOP65P490X106-9N,4,
PE43711B-Z,AT2,PE43711B-Z,1,
PHA-13HLN+,"IC13, IC14",PHA13HLN,2,
SN74LV1T04DBVR,"IC1, IC2, IC12",SOT95P280X145-5N,3,
SN74LV4052ADR,U1,SOIC-16_3.9x9.9mm_P1.27mm,1,
Si5351A-B-GM,U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,
TLV74125PDBVR,IC5,SOT95P280X145-5N,1,
