Designator,Mid X,Mid Y,Layer,Rotation
AT2,126.03,-63.41,top,90.0
C1,114.7375,-80.045,top,0.0
C2,113.851629,-89.888492,top,90.0
C3,103.419129,-69.105992,top,0.0
C4,114.799129,-83.115992,top,180.0
C5,103.719129,-80.243492,top,90.0
C6,100.791629,-87.958492,top,90.0
C8,127.4,-99.64,top,270.0
C9,129.59,-101.07,top,270.0
C14,102.071629,-90.908492,top,180.0
C15,100.741629,-80.328492,top,270.0
C16,108.049129,-84.353492,top,90.0
C20,125.656,-92.619,top,180.0
C27,120.67375,-103.8,top,0.0
C28,120.67125,-101.61,top,0.0
C30,122.556,-88.449,top,90.0
C31,125.5125,-90.262375,top,0.0
C34,170.415,-79.965,top,0.0
C40,149.64,-82.95,top,90.0
C41,131.706,-81.994,top,90.0
C43,114.7125,-73.82,top,180.0
C45,132.905,-89.88,top,0.0
C46,134.96,-89.51,top,270.0
C48,170.5175,-85.715,top,0.0
C60,139.37,-89.265,top,90.0
C61,142.43,-90.16,top,0.0
C64,133.306,-82.934,top,90.0
C65,148.106,-82.004,top,90.0
C66,151.156,-87.534,top,90.0
IC1,163.16,-88.48,top,0.0
IC2,163.19,-84.24,top,0.0
IC3,134.275,-58.905,top,0.0
IC4,124.43375,-99.4,top,90.0
IC5,170.52,-82.83,top,180.0
IC8,124.37,-55.59,top,90.0
IC10,128.48,-104.845,top,0.0
IC11,124.61,-44.39,top,0.0
IC12,163.19,-80.15,top,0.0
IC13,126.89375,-86.455375,top,0.0
IC14,143.56,-86.473,top,0.0
L1,122.536,-91.4915,top,270.0
L2,132.24,-86.41,top,270.0
L3,137.0575,-90.01,top,180.0
L15,148.65,-86.621,top,270.0
R1,120.79125,-96.38,top,180.0
R3,114.72,-75.895,top,180.0
R4,114.7,-77.935,top,0.0
R5,115.871629,-89.925992,top,90.0
R6,113.859129,-86.035992,top,90.0
R7,105.959129,-80.195992,top,90.0
R8,102.971629,-87.925992,top,90.0
R9,150.065,-53.108,top,0.0
R10,144.735,-53.008,top,180.0
R13,100.761629,-84.178492,top,90.0
R14,105.921629,-84.308492,top,90.0
R15,120.81125,-98.46,top,180.0
R16,127.9725,-90.262375,top,0.0
R17,144.4925,-90.17,top,0.0
R18,127.35,-54.36,top,270.0
U1,106.794129,-74.010992,top,0.0
U2,142.655,-58.378,top,270.0
U4,108.521629,-89.048492,top,90.0
Y1,149.135,-61.058,top,270.0
