Designator,Mid X,Mid Y,Rotation,Layer
_4,67.5,-110.0,0.0,bottom
_3,163.5,-40.0,0.0,bottom
_2,163.5,-110.0,0.0,bottom
,67.5,-40.0,0.0,bottom
AT2,126.03,-63.41,90.0,top
C1,114.7375,-80.045,0.0,top
C10,144.86,-60.51,270.0,bottom
C14,102.071629,-90.908492,180.0,top
C141,138.43,-76.8325,270.0,top
C142,140.85,-40.36,270.0,top
C143,135.87,-47.98,90.0,top
C144,132.6,-76.84,270.0,top
C145,134.94,-40.3575,270.0,top
C146,132.1,-47.8725,90.0,top
C147,126.78,-76.84,270.0,top
C148,129.01,-40.37,270.0,top
C149,128.93,-47.9,90.0,top
C15,100.741629,-80.328492,270.0,top
C150,145.7,-102.1425,270.0,top
C151,145.84,-107.4475,90.0,top
C152,139.75,-102.1325,270.0,top
C153,139.88,-107.44,90.0,top
C154,133.76,-102.14,270.0,top
C155,133.85,-107.4475,90.0,top
C16,108.049129,-84.353492,90.0,top
C17,142.79,-60.49,270.0,bottom
C18,140.74,-60.51,270.0,bottom
C19,139.9,-53.1,180.0,bottom
C2,113.851629,-89.888492,90.0,top
C20,125.656,-92.619,180.0,top
C24,143.3,-56.46,0.0,bottom
C27,120.67375,-103.8,0.0,top
C28,120.67125,-101.61,0.0,top
C29,122.24,-58.43,270.0,bottom
C3,103.419129,-69.105992,0.0,top
C30,122.556,-88.449,90.0,top
C31,125.5125,-90.262375,0.0,top
C33,118.19,-44.03,180.0,bottom
C34,170.415,-79.965,0.0,top
C39,118.1675,-41.91,180.0,bottom
C4,114.799129,-83.115992,180.0,top
C40,149.64,-82.95,90.0,top
C41,131.706,-81.994,90.0,top
C43,114.7125,-73.82,180.0,top
C45,132.905,-89.88,0.0,top
C46,134.96,-89.51,270.0,top
C47,136.8985,-85.674875,270.0,bottom
C48,170.5175,-85.715,0.0,top
C5,103.719129,-80.243492,90.0,top
C6,100.791629,-87.958492,90.0,top
C60,139.37,-89.265,90.0,top
C61,142.43,-90.16,0.0,top
C62,144.31,-76.88,270.0,top
C63,146.74,-40.37,270.0,top
C64,133.306,-82.934,90.0,top
C65,148.106,-82.004,90.0,top
C66,151.156,-87.534,90.0,top
C67,138.89,-47.8925,90.0,top
C68,151.63,-102.1425,270.0,top
C69,151.75,-107.41,90.0,top
C8,127.4,-99.64,270.0,top
C9,129.59,-101.07,270.0,top
D1,105.8075,-100.34,180.0,top
IC1,163.16,-88.48,0.0,top
IC10,128.48,-104.845,0.0,top
IC11,124.61,-44.39,0.0,top
IC12,163.19,-80.15,0.0,top
IC13,126.89375,-86.455375,0.0,top
IC14,143.56,-86.473,0.0,top
IC2,163.19,-84.24,0.0,top
IC3,134.275,-58.905,0.0,top
IC4,124.43375,-99.4,90.0,top
IC5,170.52,-82.83,180.0,top
IC8,124.37,-55.59,90.0,top
J10,106.895,-96.53,270.0,bottom
J11,177.5,-90.0,0.0,top
J12,114.485,-96.53,270.0,bottom
J16,138.6035,-82.952375,0.0,top
J17,110.0325,-76.73,0.0,top
J2,93.85,-77.54,180.0,top
J32,138.495,-60.14,0.0,top
J4,147.505,-48.2745,90.0,bottom
J40,177.5,-105.0,0.0,top
J41,177.5,-75.0,0.0,top
J5,157.67,-69.8645,180.0,bottom
J6,177.5,-60.0,0.0,top
J7,113.215,-48.185,270.0,top
J8,177.5,-45.0,0.0,top
JP2,123.09,-77.03,90.0,top
JP4,148.81,-77.74,180.0,top
JP5,124.75,-41.1,0.0,top
JP8,128.49,-108.38,0.0,top
L1,122.536,-91.4915,270.0,top
L13,141.415,-77.79,0.0,top
L14,143.81,-41.3975,0.0,top
L15,148.65,-86.621,270.0,top
L16,137.95,-45.1025,0.0,top
L17,148.67,-103.16,0.0,top
L18,148.79,-106.39,0.0,top
L2,132.24,-86.41,270.0,top
L3,137.0575,-90.01,180.0,top
L44,135.495,-77.73,0.0,top
L45,137.89,-41.4075,0.0,top
L46,134.03,-45.0625,0.0,top
L47,129.685,-77.76,0.0,top
L48,131.97,-41.3875,0.0,top
L49,130.1,-45.0425,0.0,top
L50,142.73,-103.17,0.0,top
L51,142.88,-106.42,0.0,top
L52,136.77,-103.16,0.0,top
L53,136.84,-106.41,0.0,top
R1,120.79125,-96.38,180.0,top
R10,144.735,-53.008,180.0,top
R13,100.761629,-84.178492,90.0,top
R14,105.921629,-84.308492,90.0,top
R15,120.81125,-98.46,180.0,top
R16,127.9725,-90.262375,0.0,top
R17,144.4925,-90.17,0.0,top
R18,127.35,-54.36,270.0,top
R3,114.72,-75.895,180.0,top
R4,114.7,-77.935,0.0,top
R5,115.871629,-89.925992,90.0,top
R6,113.859129,-86.035992,90.0,top
R7,105.959129,-80.195992,90.0,top
R8,102.971629,-87.925992,90.0,top
R9,150.065,-53.108,0.0,top
U1,106.794129,-74.010992,0.0,top
U2,142.655,-58.378,270.0,top
U4,108.521629,-89.048492,90.0,top
Y1,149.135,-61.058,270.0,top
