Assembly,Value,Designator,Footprint,Qty,Category,Part Number,Supplier,Link,Notes
JLCPCB assembly (front),10 nF,"C12, C25, C26, C28",0805,4,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),1uF/50V,"C20, C21",0603,2,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),22uF/25V,"C22, C23",1206,2,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),100nF/50V,C24,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),4.7nF,C27,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),10nF/50V,C30,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),SMAJ24A,D20,SMASeries_LTF,1,SMD,C132947,JLCPCB,,
JLCPCB assembly (front),SMAJ11A,D21,DIOM5127X229N,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),BZX84C10,D22,P200_SOT-23,1,SMD,C118575,JLCPCB,,
JLCPCB assembly (front),BD80GC0VEFJ-ME2,IC7,SOIC127P600X100-9N,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),USB4105-GF-A-120,J10,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,SMD,,JLCPCB,,"DECISION PENDING: GCT USB4105-GF-A-120 (48 V, 1.20 mm stakes for a 1.6 mm board) is not stocked by JLC - hand solder it, or switch the board to HRO TYPE-C-31-M-12 (C165948) which JLC stocks but is rated 20 V only."
JLCPCB assembly (front),RED,"LED1, LED2, LED3",0805,3,SMD,C2295,JLCPCB,,
JLCPCB assembly (front),DMP3013SFV-7,Q20,DMP3036SFV7,1,SMD,C264098,JLCPCB,,
JLCPCB assembly (front),BSS84,Q22,SOT95P240X120-3N,1,SMD,C114481,JLCPCB,,
JLCPCB assembly (front),10R,R20,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),5.1k,R21,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),100k,R22,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),3.00k 1%,R23,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),2.26k 1%,R24,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),1M,"R25, R26, R27",0402,3,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),2.2k,"R29, R36",0402,2,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),30.1k 1%,R30,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),10.0k 1%,R31,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),6.8k,R34,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),1k,R35,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),390,R37,0402,1,SMD,,JLCPCB,,Pick from JLC suggested parts
JLCPCB assembly (front),HUSB238A-BB001-QN16R,U20,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,1,SMD,C24833806,JLCPCB,,
JLCPCB assembly (front),TL431A,U21,SOT-23,1,SMD,,JLCPCB,,Pick from JLC suggested parts
Hand solder (front),BD33GA5WEFJ-E2,IC25,SOIC127P600X100-9N,1,"ROHM BD33GA5WEFJ-E2 - 3.3 V LDO, HTSOP-J8",,,,OUT OF STOCK at JLCPCB (2 shortfall) - excluded from machine assembly. Hand solder after the board returns. Order separately.
Hand solder (front),Conn_01x12,J2,PinHeader_1x12_P2.54mm_Vertical,1,"2.54 mm pin header, 1x12 vertical",,AliExpress,https://www.aliexpress.us/item/3256806907643797.html,Cut to length from a 40P single-row 2.54 mm strip.
Hand solder (front),Conn_02x05_Odd_Even,J4,PinHeader_2x05_P2.54mm_Horizontal,1,"2.54 mm pin header, 2x5 right-angle",,AliExpress,https://www.aliexpress.us/item/3256806736246215.html,Right-angle dual-row header - mates coplanar with the RF board.
External (not on PCB),USB-C cable,,,1,"100 W, 1 m",,Amazon,https://www.amazon.com/dp/B0CJY9PRNY,
External (not on PCB),USB-C power supply,,,1,,,Amazon,https://www.amazon.com/dp/B0CYZHY7BX,
External (not on PCB),2.54 mm header sockets,,,1,Mating half for J2 / J4 on the RF board,,,,
External (not on PCB),M3 standoffs,,,1,Register the two boards so the connectors cannot slide a column,,AliExpress,https://www.aliexpress.us/item/3256808109877301.html,
