Comment,Designator,Footprint,Quantity,LCSC Part #,Notes
10 nF,"C12, C25, C26, C28",0805,4,,
1uF/50V,"C20, C21",0603,2,,
22uF/25V,"C22, C23",1206,2,,
100nF/50V,C24,0402,1,,
4.7nF,C27,0402,1,,
10nF/50V,C30,0402,1,,
SMAJ24A,D20,SMASeries_LTF,1,C132947,
SMAJ11A,D21,DIOM5127X229N,1,,
BZX84C10,D22,P200_SOT-23,1,C118575,
BD80GC0VEFJ-ME2,IC7,SOIC127P600X100-9N,1,,
USB4105-GF-A-120,J10,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,,"DECISION PENDING: GCT USB4105-GF-A-120 (48 V, 1.20 mm stakes for a 1.6 mm board) is not stocked by JLC - hand solder it, or switch the board to HRO TYPE-C-31-M-12 (C165948) which JLC stocks but is rated 20 V only."
RED,"LED1, LED2, LED3",0805,3,C2295,
DMP3013SFV-7,Q20,DMP3036SFV7,1,C264098,
BSS84,Q22,SOT95P240X120-3N,1,C114481,
10R,R20,0402,1,,
5.1k,R21,0402,1,,
100k,R22,0402,1,,
3.00k 1%,R23,0402,1,,
2.26k 1%,R24,0402,1,,
1M,"R25, R26, R27",0402,3,,
2.2k,"R29, R36",0402,2,,
30.1k 1%,R30,0402,1,,
10.0k 1%,R31,0402,1,,
6.8k,R34,0402,1,,
1k,R35,0402,1,,
390,R37,0402,1,,
HUSB238A-BB001-QN16R,U20,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,1,C24833806,
TL431A,U21,SOT-23,1,,
