Designator,Mid X,Mid Y,Layer,Rotation
C12,85.46,-84.637,top,180.0
C20,72.44,-97.29,top,90.0
C21,67.365,-100.0425,top,180.0
C22,78.56,-104.88,top,180.0
C23,77.39,-108.46,top,90.0
C24,79.86,-103.06,top,180.0
C25,85.4425,-107.421,top,180.0
C26,85.46,-97.695,top,180.0
C27,64.81,-87.16,top,90.0
C28,85.385,-94.238,top,180.0
C30,79.275,-88.8,top,0.0
D20,68.21,-83.7282,top,90.0
D21,74.48,-107.39,top,90.0
D22,74.08,-88.3,top,270.0
IC7,84.555,-102.558,top,270.0
J10,66.19,-93.5,top,270.0
LED1,64.45,-110.58,top,270.0
LED2,64.45,-106.67,top,270.0
LED3,64.45,-102.76,top,270.0
Q20,77.34,-95.005,top,270.0
Q22,78.23,-99.71,top,270.0
R20,73.79,-95.95,top,270.0
R21,75.76,-100.34,top,90.0
R22,75.22,-98.67,top,0.0
R23,67.975,-103.4225,top,180.0
R24,68.015,-104.5425,top,180.0
R25,67.92,-101.3225,top,180.0
R26,67.98,-102.3325,top,180.0
R27,63.79,-87.17,top,90.0
R29,67.91,-111.73,top,180.0
R30,73.58,-91.9,top,0.0
R31,79.25,-91.85,top,0.0
R34,73.74,-86.76,top,0.0
R35,78.79,-90.29,top,90.0
R36,67.95,-107.8,top,180.0
R37,68.05,-105.81,top,180.0
U20,71.68,-101.39,top,0.0
U21,76.53625,-89.26875,top,270.0
