Designator,Footprint,Quantity,Value,LCSC Part #
"C12, C25, C26, C28",0805,4,10 nF,
"C20, C21",0603,2,1uF/50V,
"C22, C23",1206,2,22uF/25V,
C24,0402,1,100nF/50V,
C27,0402,1,4.7nF,
C30,0402,1,10nF/50V,
D20,SMASeries_LTF,1,SMAJ24A,C132947
D21,DIOM5127X229N,1,SMAJ11A,
D22,P200_SOT-23,1,BZX84C10,C118575
IC25,SOIC127P600X100-9N,1,BD33GA5WEFJ-E2,
IC7,SOIC127P600X100-9N,1,BD80GC0VEFJ-ME2,
J10,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105-GF-A-120,
J2,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12,
J4,PinHeader_2x05_P2.54mm_Horizontal,1,Conn_02x05_Odd_Even,
"LED1, LED2, LED3",0805,3,RED,
Q20,DMP3036SFV7,1,DMP3013SFV-7,C264098
Q22,SOT95P240X120-3N,1,BSS84,C427395
R20,0402,1,10R,
R21,0402,1,5.1k,
R22,0402,1,100k,
R23,0402,1,3.00k 1%,
R24,0402,1,2.26k 1%,
"R25, R26, R27",0402,3,1M,
"R29, R36",0402,2,2.2k,
R30,0402,1,30.1k 1%,
R31,0402,1,10.0k 1%,
R34,0402,1,6.8k,
R35,0402,1,1k,
R37,0402,1,390,
U20,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,1,HUSB238A-BB001-QN16R,C24833806
U21,SOT-23,1,TL431A,
