Designator,Mid X,Mid Y,Rotation,Layer
C12,85.46,-84.637,180.0,top
C20,72.44,-97.29,90.0,top
C21,67.365,-100.0425,180.0,top
C22,78.56,-104.88,180.0,top
C23,77.39,-108.46,90.0,top
C24,79.86,-103.06,180.0,top
C25,85.4425,-107.421,180.0,top
C26,85.46,-97.695,180.0,top
C27,64.81,-87.16,90.0,top
C28,85.385,-94.238,180.0,top
C30,79.275,-88.8,0.0,top
D20,68.21,-83.7282,90.0,top
D21,74.48,-107.39,90.0,top
D22,74.08,-88.3,270.0,top
IC25,84.6,-89.4,270.0,top
IC7,84.555,-102.558,270.0,top
J10,66.19,-93.5,270.0,top
J2,91.15,-74.995,180.0,top
J4,68.155,-43.885,180.0,top
LED1,64.45,-110.58,270.0,top
LED2,64.45,-106.67,270.0,top
LED3,64.45,-102.76,270.0,top
Q20,77.34,-95.005,270.0,top
Q22,78.23,-99.71,270.0,top
R20,73.79,-95.95,270.0,top
R21,75.76,-100.34,90.0,top
R22,75.22,-98.67,0.0,top
R23,67.975,-103.4225,180.0,top
R24,68.015,-104.5425,180.0,top
R25,67.92,-101.3225,180.0,top
R26,67.98,-102.3325,180.0,top
R27,63.79,-87.17,90.0,top
R29,67.91,-111.73,180.0,top
R30,73.58,-91.9,0.0,top
R31,79.25,-91.85,0.0,top
R34,73.74,-86.76,0.0,top
R35,78.79,-90.29,90.0,top
R36,67.95,-107.8,180.0,top
R37,68.05,-105.81,180.0,top
U20,71.68,-101.39,0.0,top
U21,76.53625,-89.26875,270.0,top
