Designator,Mid X,Mid Y,Rotation,Layer
_4,155.0,-235.0,0.0,bottom
_3,251.0,-165.0,0.0,bottom
_2,251.0,-235.0,0.0,bottom
,155.0,-165.0,0.0,bottom
AT2,213.53,-183.41,90.0,top
C1,202.2375,-205.045,0.0,top
C10,232.36,-185.51,270.0,bottom
C11,192.18,-181.274,90.0,top
C12,184.34,-181.224,90.0,top
C14,189.571629,-215.908492,180.0,top
C15,188.241629,-205.328492,270.0,top
C16,195.549129,-209.353492,90.0,top
C17,230.29,-185.49,270.0,bottom
C18,228.24,-185.51,270.0,bottom
C19,227.4,-178.1,180.0,bottom
C2,201.351629,-214.888492,90.0,top
C20,238.0485,-216.709875,0.0,top
C21,184.35,-177.3665,270.0,top
C22,192.18,-177.384,270.0,top
C23,199.89,-181.319,90.0,top
C24,230.8,-181.46,0.0,bottom
C26,199.87,-177.4765,270.0,top
C27,245.86,-226.8875,90.0,top
C28,243.67,-226.89,90.0,top
C29,220.8525,-188.65,180.0,top
C3,190.919129,-194.105992,0.0,top
C30,238.5485,-210.984875,90.0,top
C31,235.426,-207.8275,180.0,top
C32,220.8325,-190.76,180.0,top
C33,257.41,-175.7025,270.0,top
C34,206.925,-173.085,270.0,bottom
C39,259.72,-173.5225,270.0,top
C4,202.299129,-208.115992,180.0,top
C40,212.4285,-216.619875,180.0,top
C41,227.00725,-216.088625,270.0,top
C42,213.8725,-192.44,0.0,top
C43,202.2125,-198.82,180.0,top
C45,228.0335,-208.209875,180.0,top
C46,225.9785,-208.579875,90.0,top
C47,222.03,-227.0,270.0,bottom
C48,212.675,-173.1875,270.0,bottom
C5,191.219129,-205.243492,90.0,top
C6,188.291629,-212.958492,90.0,top
C60,221.5685,-208.824875,270.0,top
C61,218.5085,-207.929875,180.0,top
C64,228.58725,-215.148625,270.0,top
C65,211.9585,-215.069875,180.0,top
C66,211.9185,-207.219875,90.0,top
C8,256.02,-221.5225,0.0,top
C9,256.03,-219.4525,0.0,top
IC1,250.66,-213.48,0.0,top
IC10,262.22,-222.455,0.0,top
IC11,262.58,-177.405,0.0,top
IC12,250.69,-205.15,0.0,top
IC13,234.04475,-211.6345,180.0,top
IC14,217.3785,-211.616875,180.0,top
IC2,250.69,-209.24,0.0,top
IC25,188.235,-179.272,90.0,top
IC3,222.173,-183.8125,0.0,top
IC4,241.46,-223.1275,180.0,top
IC6,196.035,-179.272,90.0,top
IC7,203.745,-179.322,90.0,top
IC8,212.6825,-189.4675,180.0,top
IC9,220.845,-193.545,0.0,top
L1,238.5785,-214.197375,270.0,top
L15,212.2885,-211.468875,90.0,top
L2,228.6985,-211.679875,90.0,top
L3,223.881,-208.079875,0.0,top
R1,236.25,-222.12,180.0,top
R10,232.235,-178.008,180.0,top
R13,188.261629,-209.178492,90.0,top
R14,193.421629,-209.308492,90.0,top
R15,236.27,-224.2,180.0,top
R16,232.966,-207.8275,180.0,top
R17,216.446,-207.919875,180.0,top
R3,202.22,-200.895,180.0,top
R4,202.2,-202.935,0.0,top
R5,203.371629,-214.925992,90.0,top
R6,201.359129,-211.035992,90.0,top
R7,193.459129,-205.195992,90.0,top
R8,190.471629,-212.925992,90.0,top
R9,237.565,-178.108,0.0,top
U1,194.294129,-199.010992,0.0,top
U2,230.155,-183.378,270.0,top
U4,196.021629,-214.048492,90.0,top
Y1,236.635,-186.058,270.0,top
