Designator,Value,Footprint,Side,Mid X,Mid Y,Rotation
C62,47 pF,0805,top,144.31,-76.88,270.0
C63,47 pF,0805,top,146.74,-40.37,270.0
C67,47 pF,0805,top,138.89,-47.8925,90.0
C68,47 pF,0805,top,151.63,-102.1425,270.0
C69,47 pF,0805,top,151.75,-107.41,90.0
C141,180 pF,0805,top,138.43,-76.8325,270.0
C142,180 pF,0805,top,140.85,-40.36,270.0
C143,180 pF,0805,top,135.87,-47.98,90.0
C144,180 pF,0805,top,132.6,-76.84,270.0
C145,180 pF,0805,top,134.94,-40.3575,270.0
C146,180 pF,0805,top,132.1,-47.8725,90.0
C147,47 pF,0805,top,126.78,-76.84,270.0
C148,47 pF,0805,top,129.01,-40.37,270.0
C149,47 pF,0805,top,128.93,-47.9,90.0
C150,180 pF,0805,top,145.7,-102.1425,270.0
C151,180 pF,0805,top,145.84,-107.4475,90.0
C152,180 pF,0805,top,139.75,-102.1325,270.0
C153,180 pF,0805,top,139.88,-107.44,90.0
C154,47 pF,0805,top,133.76,-102.14,270.0
C155,47 pF,0805,top,133.85,-107.4475,90.0
D1,D,D_SMA_Handsoldering,top,105.8075,-100.34,180.0
JP2,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,top,123.09,-77.03,90.0
J2,Conn_01x12,PinHeader_1x12_P2.54mm_Vertical,top,93.85,-77.54,180.0
JP4,SolderJumper_3_Open,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,top,148.81,-77.74,180.0
JP5,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,top,124.75,-41.1,0.0
J6,Ringdown,SMA_Amphenol_901-144_Vertical,top,177.5,-60.0,0.0
J7,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,top,113.215,-48.185,270.0
JP8,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,top,128.49,-108.38,0.0
J8,TX1,SMA_Amphenol_901-144_Vertical,top,177.5,-45.0,0.0
J11,RX1,SMA_Amphenol_901-144_Vertical,top,177.5,-90.0,0.0
J16,RFShield_OnePiece,RF Shield_1,top,138.6035,-82.952375,0.0
J17,RFShield_OnePiece,RF Shield_3,top,110.0325,-76.73,0.0
J32,RFShield_OnePiece,RF Shield_2,top,138.495,-60.14,0.0
J40,RX2,SMA_Amphenol_901-144_Vertical,top,177.5,-105.0,0.0
J41,Ringdown,SMA_Amphenol_901-144_Vertical,top,177.5,-75.0,0.0
L13,330 nH,0805,top,141.415,-77.79,0.0
L14,330 nH,0805,top,143.81,-41.3975,0.0
L16,330 nH,0805,top,137.95,-45.1025,0.0
L17,330 nH,0805,top,148.67,-103.16,0.0
L18,330 nH,0805,top,148.79,-106.39,0.0
L44,470 nH,0805,top,135.495,-77.73,0.0
L45,470 nH,0805,top,137.89,-41.4075,0.0
L46,470 nH,0805,top,134.03,-45.0625,0.0
L47,330 nH,0805,top,129.685,-77.76,0.0
L48,330 nH,0805,top,131.97,-41.3875,0.0
L49,330 nH,0805,top,130.1,-45.0425,0.0
L50,470 nH,0805,top,142.73,-103.17,0.0
L51,470 nH,0805,top,142.88,-106.42,0.0
L52,330 nH,0805,top,136.77,-103.16,0.0
L53,330 nH,0805,top,136.84,-106.41,0.0
