Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
AT2,PE43711B-Z,1,PE43711B-Z,
"C1, C10, C14, C17, C18, C19, C24, C3, C34, C43",0805,10,100 nF,
"C141, C142, C143, C144, C145, C146, C150, C151, C152, C153",0805,10,180 pF,
"C147, C148, C149, C154, C155, C62, C63, C67, C68, C69",0805,10,47 pF,
"C15, C16, C2, C4, C5, C6",0805,6,1 nF,
"C20, C46",0402,2,1.5 pF,
"C27, C28, C29, C33, C39, C8, C9",0805,7,100 pF,
"C30, C45, C60, C66",0603,4,2.2 uF,
"C31, C61",0402,2,100 nF,
"C40, C64",0402,2,1 nF,
"C41, C65",0805,2,10 uF,
C47,C_Radial_D5.0mm_H5.0mm_P2.00mm,1,100 uF,
C48,0805,1,1 uF,
D1,D_SMA_Handsoldering,1,D,
"IC1, IC12, IC2",SOT95P280X145-5N,3,SN74LV1T04DBVR,
"IC10, IC11, IC4, IC8",SOP65P490X106-9N,4,PE4251MLI-Z,
"IC13, IC14",PHA13HLN,2,PHA-13HLN+,
IC3,ADG904BRUZ,1,ADG904BRUZ-REEL7,
IC5,SOT95P280X145-5N,1,TLV74125PDBVR,
"J10, J12, J4",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
J11,SMA_Amphenol_901-144_Vertical,1,RX1,
J16,RF Shield_1,1,RFShield_OnePiece,
J17,RF Shield_3,1,RFShield_OnePiece,
J2,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12,
J32,RF Shield_2,1,RFShield_OnePiece,
J40,SMA_Amphenol_901-144_Vertical,1,RX2,
"J41, J6",SMA_Amphenol_901-144_Vertical,2,Ringdown,
J5,PinHeader_2x18_P2.54mm_Vertical,1,Digital,
J7,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J8,SMA_Amphenol_901-144_Vertical,1,TX1,
"JP2, JP5, JP8",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,3,Jumper_2_Open,
JP4,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_3_Open,
"L1, L3",0603,2,0603CS-5N1XJLW,
"L13, L14, L16, L17, L18, L47, L48, L49, L52, L53",0805,10,330 nH,
"L15, L2",1210,2,LQH32DZ150K53L,
"L44, L45, L46, L50, L51",0805,5,470 nH,
"R1, R13, R14, R15, R6, R7",0805,6,100Ω,
"R10, R3, R4, R9",0805,4,10kΩ,
"R16, R17",0402,2,1.5 k,
R18,0805,1,50Ω,
"R5, R8",0805,2,1kΩ,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,SN74LV4052ADR,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,Si5351A-B-GM,
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_nobottomgnd,1,LM4562MAX/NOPB,
Y1,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm_HandSoldering,1,ABM8G-25.000MHZ-B4Y-T,
